time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
1.552	-0.440822	0.082461	0.681728	-0.454826	-0.0758503	1.56373	-0.321531	-0.330511	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.983364	1.00215	-0.0187879	ground	0	ground	0	-1	2
1.572	-0.169492	-0.04242	1.22093	-0.182579	-0.199728	2.09242	-0.267465	-0.0410934	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.03882	0.965574	0.0732423	ground	0	ground	0	-1	2
1.592	-0.020714	-0.173733	1.38314	-0.0336318	-0.329385	2.24336	-0.294618	0.151082	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.09904	0.93385	0.165193	ground	0	ground	0	-1	2
1.612	0.124951	-0.049257	1.4134	0.111473	-0.203885	2.26225	-0.114433	0.202238	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.1572	0.898776	0.258428	ground	0	ground	0	-1	2
1.632	0.204971	0.183254	1.19133	0.190536	0.028483	2.02998	0.122511	0.148681	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.20084	0.86347	0.337372	ground	0	ground	0	-1	2
1.652	0.075143	0.288001	0.515718	0.0604041	0.132564	1.34759	0.145093	-0.0130287	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.20818	0.82758	0.3806	ground	0	ground	0	-1	2
1.672	-0.387874	0.531047	-0.616316	-0.4006	0.373732	0.214483	0.135773	-0.530774	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.1585	0.813595	0.344901	ground	0	ground	0	-1	2
1.692	-0.78014	0.637606	-1.16628	-0.788902	0.477889	-0.3338	0.0656256	-0.92002	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.11726	0.819033	0.298228	ground	0	ground	0	-1	2
1.712	-0.808367	0.602643	-1.06354	-0.813043	0.440712	-0.229907	0.0383399	-0.924011	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.07289	0.824321	0.248571	ground	0	ground	0	-1	2
1.732	-0.814243	0.448236	-0.445853	-0.814824	0.284873	0.385839	-0.0795487	-0.859513	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.03854	0.826265	0.212275	ground	0	ground	0	-1	2
1.752	-0.794731	0.21954	0.122119	-0.791336	0.0558963	0.949042	-0.265668	-0.747501	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.03407	0.824617	0.209448	ground	0	ground	0	-1	2
1.772	-0.697642	-0.381779	0.387574	-0.690776	-0.542696	1.20842	-0.764294	-0.433063	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.04278	0.827309	0.215474	ground	0	ground	0	-1	2
1.792	-0.824018	-1.04217	0.077289	-0.813066	-1.19707	0.893649	-1.41186	-0.317344	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.03533	0.858298	0.177029	ground	0	ground	0	-1	2
1.812	-1.27656	-1.17875	-0.342122	-1.25928	-1.32698	0.471867	-1.6811	-0.721509	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	1.00715	0.906852	0.100301	ground	0	ground	0	-1	2
1.831	-1.85268	-0.710085	-0.404648	-1.82622	-0.854026	0.407294	-1.4103	-1.44065	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.977161	0.962312	0.0148487	ground	0	ground	0	-1	2
1.853	-2.2898	-0.426243	-0.510614	-2.25203	-0.567333	0.299822	-1.22947	-1.97025	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.943294	1.03032	-0.0870221	ground	0	ground	0	-1	2
1.872	-2.32902	-0.595673	-0.473766	-2.27979	-0.73308	0.334986	-1.36454	-1.96796	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.912878	1.09854	-0.185659	ground	0	ground	0	-1	2
1.893	-2.05841	-1.18276	-0.468857	-1.99914	-1.31357	0.338196	-1.80865	-1.5655	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.884144	1.16321	-0.27907	ground	0	ground	0	-1	2
1.912	-1.81572	-1.46125	-0.431396	-1.74766	-1.58409	0.373779	-1.98707	-1.27091	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.858626	1.22299	-0.364365	ground	0	ground	0	-1	2
1.932	-1.5014	-1.58161	0.017603	-1.42617	-1.69593	0.818664	-1.99609	-0.962182	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.856628	1.27264	-0.416008	ground	0	ground	0	-1	2
1.952	-0.951462	-1.5422	0.662434	-0.871856	-1.64824	1.45618	-1.80798	-0.456086	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.886605	1.30224	-0.41563	ground	0	ground	0	-1	2
1.972	-0.677804	-1.54369	0.970743	-0.595207	-1.64148	1.75566	-1.73224	-0.219288	1	1.98678	1.31438	0.621532	0.1	0.902119	0.493856	1.61031	1.45269	1.50333	99	3.03129e-314	0.597867	0.178131	0.930058	1.32443	-0.394368	ground	0	ground	0	-1	2
